titel,inhoud,wdka-tijdelijk,url,vorm1,vorm2,vorm3,onderwerp1,onderwerp2,onderwerp3,academie,afdeling,graad,jaar
Plankton Cowboys,"As we grow numerous, resources grow more and more scares. Especially feeding all these people is becoming an growing problem and according to the FAO protein rich food will become scares in the near future. As a human and as a designer, I feel emerged in this problem. The future might not be so bright if we stick to our old ways. This made me research into the problem, hoping to understand it better and maybe find some possible answers. I am not a scientist, biologist or food expert, but i think that all outside of the box perspectives are to be overviewed. As a conclusion of my research, I found out that zooplankton is a rich source of protein that is not yet explored to itâ€™s full potential. We use it to feed our grown fish, but what about feeding it to us directly? As the numbers show this to be twice as efficient and way less time consuming to grow, I would like to start the conversation regarding the introduction of plankton, as a vital alternative in our protein diet. I welcome you all in my plankton research laboratory, where we discover the applications of zooplankton and would like to introduce you to menâ€™s new kind of cattle.",,http://www.judithmuijs.com/artez/,,,,,,,ArtEZ Hogeschool voor de Kunsten,Product Design (ArtEZ Hogeschool voor de Kunsten),Bachelor,2019
Anti Chair Movement,"As a free-thinker and a designer I create stories that move. I comment on entrenched social ideas and assumptions by playing with the way we look at things. I stretch up the meaning of objects, break with habits and exaggerate the expectations we have of objects through physical and philosophical research. For my graduation project I was inspired by the Dada movement. I relate to their independent attitude towards social practices. Marina AbramovicÌ§ and Pussy Riot are also inspiring to me. They break with conventional assumptions through total commitment and dedication to their subject. That is how they ensoul their work. The chair is the central subject and object of my graduation. A chair is an archetypical object within the design landscape. To me, it also functions as storyteller of the relationship we have with objects. I started my research with physical experiments: I asked the chair to dance. Chairs are made to carry the human body and are shaped around it, but they also resemble humans in themselves. They have legs and a torso. Next to my physical experiments with chairs, I researched the way people use chairs in daily life. It struck me that chairs sometimes have an important reflecting role to humans. For example, at weddings people sometimes place a nameplate on a chair, which represents a person that has recently passed away. The chair is also an element of play. In Japan, the office chair Grand Prix race is organized. Office chairs are used as vehicles to race against each other. During the race it is not allowed to get off your seat. The Grand Prix came into existence during the long days that people spend in the office. My research resulted in the development of six different danceable chairs that come to life through film and performance. I work with chairs I found on the street. I adopted the chairs and enlarged their motion and character. The film in which I show a dance with chairs, creates a world in which they are my partner. With my project I strive to liberate the chair of its proposed function by playing with expectations. I hope to inspire people to look behind given borders. To see how we can adopt a different attitude towards objects like the chair. I firmly belief that objects reflect the way we treat them. If we keep an open mind, we can build long-term relationships with them, in which reciprocity exists between the object and its user.",,http://www.judithmuijs.com/artez/,video,performance,meubelstuk,,,,ArtEZ Hogeschool voor de Kunsten,Product Design (ArtEZ Hogeschool voor de Kunsten),Bachelor,2019
The hidden qualities of salt,"As a designer I want to respond to current problems I find in news articles. I look for solutions to problems that involve functionality and a clear, simple form- language that is created through simple interventions. In recent years I have focused my research on natural resources that can be used as a sustainable material. Environmental issues and climate awareness play an important role in the process. Currently, many people live in an unhealthy environment due to the presence of particulate matter and toxic gases in the air. The purification of the ambient air is of great importance, especially for asthma patients, people with COPD and with skin problems. This can be achieved in a natural way by using the purifying property of salt. My collection illustrates how this can be translated into the home environment. I have researched techniques of salt evaporation and its properties on all my products. Salt crystals grow out of salt solution. In dry form they also have an air purifying effect. The collection consists out of a humidifier, a radiator, a lamp and mouth caps. The humidifier consists of a reservoir filled with saltwater and a timer that regulates the evaporation mechanism. The lamp was made in collaboration with Mika Tsutai, from the Kyoto Institute of Technology. The lampshade is made from the material Mika brought from Japan. The material consists of a paper fiber and natural glue which is combined with salt crystals. The lampshade is heated by the lamp and could, if possible, emit negative ions, a principle based on the operation of the Himalayan salt-lamps. I applied the same principle to a radiator. The outside of the radiator is covered with a layer of salt and due to the heat of the water that flows through the pipes the salt could emit negative ions. The salt on the mouth caps is crystallized in the substance by capillary action and is released by the condensation produced from breath. With this project I wanted to investigate the meaning of design in health care, and I want to discuss the possibility of supportive treatments supplementary to conventional healthcare.",,http://www.judithmuijs.com/artez/,,,,klimaatverandering,,,ArtEZ Hogeschool voor de Kunsten,Product Design (ArtEZ Hogeschool voor de Kunsten),Bachelor,2019
How to upholster a chair?,"As a designer I am primarily a maker and I work from my great fascination for construction and material. By doing things manually and trying them out, my imagination gets going. The estranged effect on material and construction in an unusual context arouses my interest, because it makes me think. For example, mattresses that are discarded on the street and furniture that stands pathetic on the sidewalk immediately remind me of the intimacy of a lifetime. In my work I am looking for estrangement that makes you look better and I ask myself how by reviewing structures, I can give materials a different visual or constructive quality in order to get at a new visual language for my shoes. Craft making processes are great sources of inspiration for me to find gems of new form and technique details with which I can renew my visual language. With both product types, upholstered furniture as well as shoes, it is about a covering or upholster on a core construction: the furniture frame and the last. Both types of construction support the covering. It starts with the frame itself, this is an important part to get to the shape and the part to which everything is attached. First a pattern is made on this, fabric is cut, then stitched together and fastened around the frame with nails. Filling or reinforcement may also be required. For my collection I use this world of upholstered furniture, I apply techniques such as padding, filling and folding in my shoe designs. I also use the â€œerrorsâ€ within the upholstery industry, such as upholstery over the old upholstery, for my shoes. I attach great importance to maintaining professional craftsmanship, because for me this is a source of inspiration for visual language innovation. I use exaggeration or magnification to give my shoe designs â€˜dramaâ€™ that can be strong and cheeky. For my shoes I opted for fabrics with a certain gloss such as satin, whereby shapes are accentuated by light and shadow. I have processed these fabrics by pressing them at a high temperature on a felt layer to create a higher quality and new appearance in the fabric. For the rougher side of my collection, the â€œbad habitâ€, I have mainly opted for somewhat matt fabrics such as denim and coarse cotton to achieve a rougher image due to the fraying that these woven fabrics entail.",,http://www.judithmuijs.com/artez/,kledingstuk,foto,-,materiaal,,,ArtEZ Hogeschool voor de Kunsten,Product Design (ArtEZ Hogeschool voor de Kunsten),Bachelor,2019
Stream City,"Welcome to Stream City, the fictional flying city that explores an alternative vision for a transient way of living. Spending time among the clouds living as a flying nomad forces you to let go of belongings, places, and even people, embracing a freer, more ephemeral existence. The experience can inspire us to be less bound to our set values upon our return to the everyday world. Stéphane has designed conceptual electromagnetic gauntlets and flying suits for his futuristic urban experience. Soar and swoop through Stream City, with its network of floating infrastructures, on an audio tour with a VR headset. A film documents users’ imagined experiences.",,https://press.designacademy.nl/graduation-2019/project?ProjectId=2459,video,kledingstuk,VR,toekomst,steden,-,Design Academy Eindhoven,Contextual Design (Design Academy Eindhoven),Master,2019
Pasta Shootah,"This project takes the industrial method of extruding pasta and translates it into the world of 3D software, breathing new life into a stagnant tradition. In the global imagination, Italy means pasta and vice versa. The cliché transforms the country’s eating habits into the main characteristic of the people, fuelling the stereotype of Italian identity. How can design be used to question such deep-rooted conventions? How can 3D modelling, rapid prototyping and new materials connect to a national heritage in which food, industry, and politics have a complex relationship? Gianmaria Della Ratta took the extrusion method and generated rules for efficiency, form, scale and process, some based on traditional pasta shapes. Unlike traditional production, extrusion always leads to different results.",,https://press.designacademy.nl/graduation-2019/project?ProjectId=2475,meubelstuk,methode,-,,,,Design Academy Eindhoven,Contextual Design (Design Academy Eindhoven),Master,2019
‘Soon All This Will Be Picturesque Ruins’,"This project tackles narratives that respond to issues of gentrification and the diminishing presence of queer space in cities. A tension between creation and destruction seems for some to be a necessary part of urban development. But in reality, it can play out as a violent process of exclusion of those that occupied the space before. The installation documents a series of immersive performances which took place within a disused shed at a property in Eindhoven, soon to be redeveloped. After each of the four acts, the interior was fully renovated into a new spatial design, tracking different archetypal clichés associated with gentrification. Starting as a gay bar, the shed was transformed into a café, an Airbnb and a luxury property marketing event.",,https://press.designacademy.nl/graduation-2019/project?ProjectId=2435,installatie,performance,-,,,,Design Academy Eindhoven,Contextual Design (Design Academy Eindhoven),Master,2019
The Beauty of Distortion,"The Beauty of Distortion’ is a study on how our prejudices about materials can be altered through subversive use of crafting techniques, resulting in a series of elegant plastic objects. Today, plastic increasingly has a negative connotation. The material has permeated all uses, and with its ubiquitous proliferation it finally ended up having a disgraceful reputationIs it possible to shift perspectives towards a new understanding of what this material could evoke? Blowing and melting plastic as if it were glass makes you see plastic as you see glass. The resulting objects bring about a new notion of beauty, one that is alluringly twisted, warped and bent instead of being industrially dull.",,https://press.designacademy.nl/graduation-2019/project?ProjectId=2467,sculptuur,-,-,,,,Design Academy Eindhoven,Contextual Design (Design Academy Eindhoven),Master,2019
Textiles Talk a Flexible Language,"Textiles designed to embody our ever-evolving digital identity. Throughout history, textiles have been used to fulfill our desire to represent ourselves in the form of tapestries. But now, the story of our identity is no longer limited to the static, physical world. In social media, our digital selves are constantly under construction, evolving with our personalities. It’s time that textiles incorporate the flexibility that we have online. New information can be incorporated into fabric at any moment via screens connected to textiles and a scanner taught to link knitted symbols to information online. There’s also a patchwork embroidered with a feed of ever-changing selfies that responds to our touch via conductive thread.",,https://press.designacademy.nl/graduation-2019/project?ProjectId=2484,textiel,video,-,,,,Design Academy Eindhoven,Contextual Design (Design Academy Eindhoven),Master,2019
Terra Incognita,"Sculpting a new path towards adaptable design. With industrial modelling clay, a common tool in car design, Johanna Seelemann creates a series of abstract products that can be continually restyled by the user. An accompanying book brings together narratives on the evolution of aesthetics. What role does appearance play in determining a product’s survival? In an age of sustainability and climate crisis, mass sectors such as the car industry and fashion remain entrenched in patterns where aesthetics remains a dominant force in design. For Johanna, this non-rational focus on the way things look drives modern over-consumption. In collaboration with Adriana Pacheco and car designer Daniel Rauch.",,https://press.designacademy.nl/graduation-2019/project?ProjectId=2432,boek,voorwerp,-,,,,Design Academy Eindhoven,Contextual Design (Design Academy Eindhoven),Master,2019
Ejaculation,"Exploring ways to procreate through objects rather than biology. Do we still need to rely on biology to secure our continued existence? Mass media already extends our influence far beyond the physical, so why not take this a step further? Anh does this in a new survival strategy that challenges the idea of reproduction and the individual. With mass-produced objects that can be easily replicated, Ahn aims to spread his identity far and wide. How? By releasing 3,000 balloons of his face and dragging a plaster portrait of himself across the street. With a bed built from copies of his head he even invades the act of conception itself.",,https://press.designacademy.nl/graduation-2019/project?ProjectId=2440,activiteit,meubelstuk,-,,,,Design Academy Eindhoven,Contextual Design (Design Academy Eindhoven),Master,2019
The Mechaphony,"Devices for a ‘sonic recalibration lab’ that help us re-engage with the sounds around us, so we are better able to deal with them. The birth of the Industrial Revolution and the resulting machines and devices spawned a whole soundscape of what we currently classify as noise. Colette Aliman calls this the ‘Mechaphony’. We use decibels to measure sound, but the focus is only on one aspect: the noise level. This creates an inherent negative bias in our perception. Two ceramic interfaces access the Mechaphony database, transforming the sounds and our relationship to them to create a more positive response to our daily aural input.",,https://press.designacademy.nl/graduation-2019/project?ProjectId=2487,?,?,?,,,,Design Academy Eindhoven,Contextual Design (Design Academy Eindhoven),Master,2019
Still Life,"An exploration of what happens if machine-learning algorithms are trained to become subjective. An object is never just an isolated entity. It is connected to a context, memory or feeling. This is what gives things meaning. But how to teach meaning to algorithms that are being developed to look upon our world with an automated gaze? Vera van der Burg trained a speculative algorithm with datasets of her emotions. Scanning a still life of ambiguous objects that she created, the algorithm interprets their emotional content. Unlike vanitas paintings, which remind us of life’s meaninglessness, the scene through the eye of the machine reminds us of our desire to find meaning.",,https://press.designacademy.nl/graduation-2019/project?ProjectId=2437,machine,software,-,,,,Design Academy Eindhoven,Contextual Design (Design Academy Eindhoven),Master,2019
Extended Nature,"An exploration of the relationship between real and unreal through a deep-sea organism.  Today, we experience a version of nature that is manicured, virtual, and artificial. The internet provides a ubiquitous matrix, in a parallel reality of real nature. The technological perspective on nature is always flattened, abstracted, altered through layers of machine interpretation. According to Kurina Sohn, the relationship between representation, creation and life can no longer be divided between real and unreal. As a result, the boundaries between nature, imagery, machine and body blur.  Kurina reconstructed a crinoid (or ‘sea lily’) in the form of a kinetic structure that mimics natural behaviour. Also, using digitized fossil records, she used a syringe to pump air into the soft robotics and resin-print object.",,https://press.designacademy.nl/graduation-2019/project?ProjectId=2477,machine,sculptuur,-,,,,Design Academy Eindhoven,Contextual Design (Design Academy Eindhoven),Master,2019
Wearing Chairs While Sitting On Pants,"A synthesis of furniture and clothing to go beyond the original features of each. Furniture and clothing are seen as two separate things. But they don’t have to be. Both facilitate the body in its environment. Fueled by his own passion for clothing, Hansol Kim questions the strict boundary between the two and aims to create a new kind of object in the space between these categories. Evocative sculptures use and juxtapose existing forms, functions and materials, such as leather, that are common to furniture as well as clothing. They present a new hybrid form to excite and intrigue.",,https://press.designacademy.nl/graduation-2019/project?ProjectId=2438,kledingstuk,meubelstuk,sculptuur,,,,Design Academy Eindhoven,Contextual Design (Design Academy Eindhoven),Master,2019
Objectifying Objects,"A shelving unit and lamp is covered by a thin membrane that reveals the inner structure at work. In objects and architecture, the inner anatomy is often concealed behind façades and casings. Inspired by our own bodies, Alex Blondeau explores how skin and skeleton can work together. By making this relationship visible, the resulting design reveals a more complete picture. A structure of moveable parts is covered by a balloon-like membrane. When the air is sucked out, the outer skin is pulled taut. The skin shapes the structure − or does the structure shape the skin?",,https://press.designacademy.nl/graduation-2019/project?ProjectId=2478,sculptuur,meubelstuk,-,lichaam,,,Design Academy Eindhoven,Contextual Design (Design Academy Eindhoven),Master,2019
Probably an ATM,"A search for a more honest aesthetic for technological devices we commonly trust blindly, such as an ATMWe tend to have complete faith in products that look neutral and simple. Yet modernist design can be misleading, since functional appearance is a designed aesthetic too. Can we still have confidence in designed objects, Gijs de Boer asks, when we can detect that their neutrality is a mask? Inspired by sampling and citing methods from pop culture, Gijs copies a seemingly neutral ATM incompletely, leaving clues to reveal its modernist mask. ‘Probably an ATM’ tests if you can trust an honest façade.",,https://press.designacademy.nl/graduation-2019/project?ProjectId=2497,video,voorwerp,-,neutraliteit,,,Design Academy Eindhoven,Contextual Design (Design Academy Eindhoven),Master,2019
Yesterday Did Not Die,"A range of furniture to investigate our appreciation of antique objects. The revision of classical pieces with contemporary ornamentation contrasts conservative beauty with contemporary scenes considered more banal. Antique objects appear to have a firmly established sense of beauty, expressing a certain wealth and an idealised past. Replicas, however lack that charm, and are quickly seen as kitsch. What defines the difference? Instead of classic representations, this furniture is adorned with everyday scenes of decay that we normally might ignore, disdain or consider as banal. When aestheticised in this format that refers to the past, they suddenly lose their deceptive character and become a commentary on our contemporary society.",,https://press.designacademy.nl/graduation-2019/project?ProjectId=2465,meubelstuk,-,-,,,,Design Academy Eindhoven,Contextual Design (Design Academy Eindhoven),Master,2019
The Peacock Chair,"A new take on the famous peacock chair, putting the spotlight on its Southeast-Asian origins and the anonymity of craft labour. The peacock chair is a 1970s icon in the West, but its lesser known origins can be traced to prison work in the Philippines. In this project, it becomes a metaphor, highlighting the designer's personal sentiments of the Philippines being known for economical manufacturing and labour rather
than its design capabilities. Mona Alcudia used second-hand wicker baskets to make own peacock chair. From this chair, you can watch her Karaoke installation of cliché images of the Philippines. The subtitles tell the story of the chair, of decolonisation and the Southeast-Asian identity.",,https://press.designacademy.nl/graduation-2019/project?ProjectId=2444,meubelstuk,-,-,,,,Design Academy Eindhoven,Contextual Design (Design Academy Eindhoven),Master,2019
We Are at a Crossroads,"A hosted experience that triggers our perception of the everyday through cyclical processes of interaction between objects and participants. Our daily routines are embedded in cycles: the natural ones we are forced to live by, and those we create for ourselves. These repetitive cycles make us perform actions thoughtlessly because they have become so ingrained in our behaviour. The everyday becomes part of our character. Marie Rime brings this invisible system of cycles and their traces to light in a performative installation. Her handmade objects and the parameters she sets make participants aware of their freedom and possibilities in our perceived restraint.",,https://press.designacademy.nl/graduation-2019/project?ProjectId=2480,installatie,performance,-,,,,Design Academy Eindhoven,Contextual Design (Design Academy Eindhoven),Master,2019
A Dinner for One,"A dinner setting for one person, featuring a table and chair, to show how memories are encapsulated in physical objects. Starting with a big table and four chairs, Micheline Nahra deconstructed these objects into their constituent parts and used them to construct a table and chair for one person. Raised in war-torn Lebanon, Micheline is well aware of the fragility of our surroundings. Everything can be lost at any time. For her, deconstructing and reconstructing is a way of exploring the relationship between objects and the layering of stories in them. Her pieces reflect the human need to retrace the past and preserve memories.",,https://press.designacademy.nl/graduation-2019/project?ProjectId=2482,meubelstuk,-,-,oorlog,geschiedenis,herrinneringen,Design Academy Eindhoven,Contextual Design (Design Academy Eindhoven),Master,2019
